Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996-{0} Ariba, Inc. Alle Rechte vorbehalten.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", das Ariba, Inc.-Logo und ""Ariba.com"" sind Marken und/oder Dienstleistungsmarken von Ariba oder anderen Unternehmen. Weitere Informationen über Ariba-Marken und -Dienstleistungsmarken finden Sie unter {0}www.ariba.com/legal/trademarks.cfm{/0} (auf Englisch). Wenn auf der Webseite nicht anders angegeben, gehören alle anderen hier erwähnten Marken, Dienstleistungsmarken und Logos den jeweiligen Eigentümern.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Navigationsfenster reduzieren",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Navigationsfenster erweitern",""
"AribaBasicPageWrapper",a005,"Home","Startseite",""
"AribaBasicPageWrapper",a006,"Help","Hilfe",""
"AribaBasicPageWrapper",a007,"Logout","Abmelden",""
"AribaBasicPageWrapper",a008,"End delegation session","Delegierungssitzung beenden",""
"AribaBasicPageWrapper",a009,"Preferences","Voreinstellungen",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Falls Sie Hilfe zur Verwendung dieses Produkts benötigen, klicken Sie am oberen Rand einer beliebigen Seite auf {0}Hilfe{/0}, um auf die Dokumentation sowie auf Lernprogramme zuzugreifen.",""
"AribaLoginForm",a002,"System running in non-production mode","System läuft im Nicht-Produktionsmodus",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","1. Quartal 2014: Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9, 32-Bit-Version","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8, 32-Bit-Version","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7, 32-Bit-Version","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Chrome 26+","Chrome 26+","Supported Browsers"
"AribaLoginPageWrapper",25,"Mozilla Firefox 17+","Mozilla Firefox 17+","Supported Browsers"
"AribaLoginPageWrapper",26,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",27,"Safari 5","Safari 5","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996-{0} Ariba, Inc. Alle Rechte vorbehalten.",""
"AribaLoginPageWrapper",a003,"Support","Support",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","Unterstützte Browser und Plug-Ins","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","Unterstützte Browser","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","Unterstützte Plug-Ins","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","Zeitplan für den Ablauf der Versionsunterstützung","Section Heading"
"AribaLoginPageWrapper",a008,"OK","OK",""
"AribaNotificationDialog",a001,"Notification","Benachrichtigung",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Achtung:</b> An dieser Site sind reguläre Wartungsarbeiten vorgenommen worden. Ihre Anmeldesitzung muss aktualisiert werden.</p><p>Klicken Sie auf <i>Sitzung aktualisieren</i>, um die Aktualisierung sofort auszuführen. <b>Hinweis: Sie werden nicht abgemeldet.</b></p><p>Klicken Sie auf <i>Arbeit beenden</i>, um vor der Aktualisierung eine begonnene Aufgabe abzuschließen. Beenden Sie die Aufgabe und klicken Sie dann auf den Link <i>Sitzung aktualisieren</i> oben rechts auf der Seite.</p><p>Ihre Sitzung wird in {0} Minuten automatisch aktualisiert.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Achtung:</b> An dieser Site sind reguläre Wartungsarbeiten vorgenommen worden. Ihre Anmeldesitzung muss aktualisiert werden.</p><p>Klicken Sie auf <i>Zur Startseite zurückkehren</i>, um die Aktualisierung sofort auszuführen. <b>Hinweis: Sie werden nicht abgemeldet.</b> </p><p>Klicken Sie auf <i>Arbeit beenden</i>, um vor der Aktualisierung eine begonnene Aufgabe abzuschließen. Beenden Sie die Aufgabe und klicken Sie dann auf den Link <i>Startseite</i> oben rechts auf der Seite.</p><p>Ihre Sitzung wird in {0} Minuten automatisch aktualisiert.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Anforderung für erneute Authentifizierung",""
"AribaShutdownWarning",a002,"Finish Work","Arbeit beenden",""
"AribaShutdownWarning",a003,"Refresh Session","Sitzung aktualisieren",""
"AribaShutdownWarning",a004,"Return To Home","Zur Startseite zurückkehren",""
"Chooser",1,"(none selected)","(nichts ausgewählt)",""
"Chooser",2,"{0} more selected...","{0} mehr ausgewählt...",""
"Chooser",3,"No match found","Keine Übereinstimmung gefunden",""
"Chooser",a001,"Search for more","Nach weiteren Einträgen suchen",""
"Chooser",a002,"Select from the list","Aus der Liste auswählen",""
"Chooser",a003,"Add another selection","Weitere Auswahl hinzufügen",""
"Chooser",a004,"Remove selection","Auswahl entfernen",""
"Chooser",a005,"Multiple selections allowed","Mehrere Auswahloptionen zulässig",""
"ChooserPanel",1,"Choose Values","Werte auswählen",""
"ChooserPanel",2,"Choose Value","Wert auswählen",""
"ChooserPanel",a002,"Search","Suchen",""
"ChooserPanel",a003,"Add to Currently Selected","Der aktuellen Auswahl hinzufügen",""
"ChooserPanel",a004,"Currently Selected","Aktuell ausgewählt",""
"ChooserPanel",a005,"Value","Wert",""
"ClientPanelWrapper",a001,"OK Button","OK",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Abbrechen",""
"ClientPanelWrapper",a004,"Cancel","Abbrechen",""
"ClientPanelWrapper",a005,"Done Button","Fertig",""
"ClientPanelWrapper",a006,"Done","Fertig",""
"Confirmation",a001,"Confirm Action","Aktion bestätigen",""
"Confirmation",a002,"Are you sure?","Sind Sie sicher?",""
"Confirmation",a003,"OK","OK",""
"Confirmation",a004,"Cancel","Abbrechen",""
"Confirmation",a005,"Cancel","Abbrechen",""
"DateField",1,"Enter date: %s","Datum eingeben: %s","example date format"
"DateField",2,"Enter date: mm/dd/yyyy","Datum eingeben: tt/mm/jjjj","accessibility enabled example date format"
"DateField",3,"Date field is disabled","Das Datumsfeld ist deaktiviert.","accessibility enabled date field disabled message"
"DateField",a001,"Select a date from the calendar","Datum im Kalender auswählen",""
"DateField",a002,"Calendar is disabled","Der Kalender ist deaktiviert.",""
"ErrorFlag",a001,"Error","Fehler",""
"ErrorIndicator",a001,"Required Field","Obligatorisches Feld","alt text for required field indicator"
"ErrorIndicator",a002,"Error","Fehler","alt text for form input error indicator"
"ErrorIndicator",a003,"Warning","Warnung","alt text for form input warning indicator"
"FileBrowser",a001,"Directory Listing For","Verzeichnisliste für","title followed by directory path"
"FileBrowser",a002,"Name","Name",""
"FileBrowser",a003,"Size","Größe",""
"FileBrowser",a004,"Last Modified","Zuletzt geändert",""
"FileBrowser",a005,"Open","Öffnen","Button to open a file or directory"
"FileBrowser",a006,"Select","Auswählen","Button to select a file or directory"
"FileBrowser",a007,"Up To","Wechseln zu","Button to go to parent directory"
"FileUploadStatusBar",a001,"Uploading file...","Datei wird geladen...",""
"FooterLinks",a001,"POWERED BY", "VON", "powered by Ariba text"
"HintMessage",a001,"* indicates required field","* zeigt ein obligatorisches Feld an",""
"HintMessage",a002,"How to","Vorgehensweise",""
"HintMessage",a003,"Screen Details","Bildschirmdetails",""
"ModalPageWrapper",a001,"OK Button","OK",""
"ModalPageWrapper",a002,"OK","OK",""
"ModalPageWrapper",a003,"Cancel Button","Abbrechen",""
"ModalPageWrapper",a004,"Cancel","Abbrechen",""
"ModalPageWrapper",a005,"Done Button","Fertig",""
"ModalPageWrapper",a006,"Done","Fertig",""
"ModalWindowWrapper",a001,"OK","OK",""
"ModalWindowWrapper",a002,"Cancel","Abbrechen",""
"OutlineBox",1,"Minimize","Minimieren","Tooltip on collapse button"
"OutlineBox",2,"Maximize this view","Diese Ansicht maximieren","Tooltip on expand button"
"OutlineBox",a001,"Expand to view the contents of this section.","Klicken Sie auf den Pfeil, um den Inhalt dieses Abschnitts anzuzeigen.",""
"PageErrorPanel",1,"There are {0} problems that require completion or correction in order to complete your request.", "Es gibt {0} Einträge, die entweder vervollständigt oder korrigiert werden müssen, damit Ihre Anforderung abgeschlossen werden kann.","plural version of the msg"
"PageErrorPanel",2,"There is {0} problem that requires completion or correction in order to complete your request.", "Es gibt {0} Eintrag, der entweder vervollständigt oder korrigiert werden muss, damit Ihre Anforderung abgeschlossen werden kann.","singular version of the msg"
"PageErrorPanel",3,"Mouse over the red icons to learn more.  Use the <b><i>Next</i></b> and <b><i>Previous</i></b> links to step through the errors as needed.","Zeigen Sie mit der Maus auf die roten Symbole, um weitere Informationen zu sehen. Mithilfe der Links <b><i>Weiter</i></b> und <b><i>Zurück</i></b> können Sie zum nächsten bzw. vorigen Fehler wechseln.",""
"PageErrorPanel",4,"There are {0} warnings that require your attention.  Please try again if you want to proceed after reviewing the warnings.","{0} Warnungen erfordern Ihre Aufmerksamkeit. Versuchen Sie es erneut, wenn Sie nach der Prüfung der Warnungen fortfahren möchten.","plural version of the msg"
